Frequentie;Land;Zender;Locatie;Afstand tot Zundert
106.0;BEL;Radio Paloma;Poppel/Aarle 33 (vlg-ant);24km
106.0;BEL;Radio Scorpio;Leuven/Sint-Maartensdal (vlg-vbr);65km
106.0;BEL;Trendy FM;Ham/Gerhoevenstraat 6 (vlg-lim);53km
106.1;BEL;Radio Nova;Wuustwezel/Bredabaan-Club Part 2 (vlg-ant);11km
106.1;BEL;Gold FM;Bruxelles/Rue de Brabant (bru);70km
106.1;BEL;Radio Beverland;Beveren/Dweerse Kromstraat 41 (vlg-ovl);40km
106.1;BEL;Radio Christina;Heist-op-den-Berg/Watertoren (vlg-ant);44km
106.1;HOL;ATOS Radio;Zwijndrecht/Westelijke Parallelweg (zho);39km
106.1;BEL;Radio Accent;Wetteren (vlg-ovl);76km
106.1;BEL;NRJ Belgique;Jodoigne (wal-bra);84km
106.1;HOL;NOVO3;Helvoirt/AgruniekRijnvallei (nbr);44km
106.2;HOL;ORTS Radio;Oosterhout/Del Court flat (nbr);21km
106.2;BEL;Radio Noorderkempen;Turnhout/Parklaan 50 (vlg-ant);26km
106.2;BEL;Radio Reflex;Mechelen/Polderstraat (vlg-ant);50km
106.2;BEL;NRJ Belgique;Ottignies-Louvain-la-Neuve (wal-bra);89km
106.2;BEL;AFN Benelux-The Eagle;Kleine-Brogel/Air Base (vlg-lim);64km
106.2;BEL;Radio ZRO;Zelzate/Hoogbouwplein 1 (vlg-ovl);68km
106.2;HOL;SRC FM;Geldermalsen/Gerdina's Hof (gel);63km
106.2;BEL;Radio Tequila;Deinze/Izegemstraat 104 (vlg-ovl);98km
106.3;BEL;Radio Park FM;Schoten/Belcrownlaan 21 (vlg-ant);29km
106.3;HOL;Radio Optimaal;Alphen/Sint Janstraat (nbr);21km
106.3;BEL;TOPradio;Geel/Watertoren Oevel (vlg-ant);42km
106.3;BEL;TROS FM;Dendermonde (vlg-ovl);62km
106.3;BEL;Antipode;Tubize (wal-bra);93km
106.3;BEL;FM Goud Plus;Oudsbergen/Klein-Heidestraat (vlg-lim);73km
106.3;BEL;Radio VRW;Sint-Truiden (vlg-lim);81km
106.3;BEL;KIX;Eeklo/Leopoldlaan 88 (vlg-ovl);84km
106.4;HOL;Radio Rucphen FM;Rucphen/Sprundelseweg (nbr);9km
106.4;BEL;Nostalgie+;Sint-Niklaas/Gasmeterstraat (vlg-ovl);49km
106.4;BEL;Trendy FM;Beringen (vlg-lim);59km
106.4;HOL;Exxact Barendracht;Barendrecht/Watertoren (zho);45km
106.4;BEL;Radio Rand (Asse-Ternat);Asse/Watertoren (vlg-vbr);70km
106.4;BEL;Club FM;Gent/Lieven Bauwens Gebouw (vlg-ovl);81km
106.4;HOL;SRC FM;Tiel/GMB BioEnergie (gel);73km
106.5;BEL;Radio Zuidrand;Aartselaar/Cleydaellaan 18 (vlg-ant);41km
106.5;BEL;Eazy FM;Bruxelles=Brussel/Tour du Bastion=Bastiontoren (bru);73km
106.5;BEL;Radio Christina;Hulshout/Bundersstraat 1 (vlg-ant);47km
106.5;HOL;Omroep Tholen;Tholen/Grote of Onze-Lieve-Vrouwekerk (zee);32km
106.5;BEL;Radio Monza;Kinrooi/Esserstraat 1 (vlg-lim);83km
106.5;HOL;Studio Alphen;Hazerswoude-Rijndijk/Frederik van Eedenplein (zho);74km
106.5;BEL;PXL Radio;Diepenbeek (vlg-lim);81km
106.5;BEL;Radio Star;Herzele (vlg-ovl);85km
106.6;BEL;Radio TOS;Lichtaart/Leistraat 52 (vlg-ant);32km
106.6;BEL;Radio Opsinjoor;Mechelen/Polderstraat (vlg-ant);50km
106.6;BEL;FM Goud Plus;Peer (vlg-lim);66km
106.6;BEL;Club FM/Radio Domino;Lochristi (vlg-ovl);69km
106.6;BEL;10 FM;Glabbeek (vlg-vbr);69km
106.6;HOL;Studio040;Eindhoven/Stadhuis (nbr);57km
106.7;BEL;Radio BaHeNa;Baarle-Hertog (vlg-ant);19km
